month,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2MDEW,CLOUD_FRACTION,RAINY_DAY_COUNT,RAINY_DAY_FRACTION,MILD_SCORE,STARGAZING_SCORE
2000-01-01,22.934193548387096,14.22,32.79,64.67,2.42,0.6912903225806452,19.44709677419355,21.780645161290323,14.421612903225807,0.10713862559241705,1,0.0323,59.02,31.54
2000-02-01,24.06655172413793,14.84,34.09,65.59344827586207,37.02,0.6782758620689656,20.08448275862069,23.78206896551724,15.753103448275864,0.15547790279549922,8,0.2759,26.67,29.06
2000-03-01,26.370645161290323,15.74,36.8,55.76225806451613,1.93,0.5906451612903225,24.12,25.645806451612902,14.662903225806453,0.05949535860733057,1,0.0323,0.0,41.61
2000-04-01,26.557666666666666,20.99,37.16,69.556,34.64,0.8316666666666667,22.073333333333334,26.136666666666667,19.363666666666667,0.15546486417548777,5,0.1667,0.0,25.71
2000-05-01,25.11225806451613,20.34,34.26,75.79096774193549,74.10000000000001,1.1983870967741934,21.193548387096776,25.830322580645163,19.906774193548387,0.17950895421734891,13,0.4194,0.0,19.86
2000-06-01,22.346666666666668,18.36,27.57,88.95766666666667,378.76,1.7469999999999999,14.790666666666668,25.455,20.299,0.41894847115825307,29,0.9667,75.81,6.42
2000-07-01,21.924193548387095,18.83,27.08,90.1974193548387,200.15,1.5261290322580645,17.15225806451613,25.212903225806453,20.126451612903224,0.3197031729785057,22,0.7097,87.88,6.67
2000-08-01,21.991612903225807,18.65,27.52,90.75064516129032,322.92,1.5948387096774193,14.852903225806452,25.65516129032258,20.30838709677419,0.42105594045089334,29,0.9355,85.95,5.35
2000-09-01,22.67366666666667,19.27,27.95,90.05133333333333,86.43,0.8496666666666667,17.28033333333333,24.866333333333333,20.832333333333334,0.3050711135538011,19,0.6333,66.47,6.91
2000-10-01,22.239677419354837,15.65,28.25,87.72290322580645,162.62,0.775483870967742,17.66032258064516,23.641290322580645,19.889032258064514,0.25298821089400714,20,0.6452,78.87,9.17
2000-11-01,21.813666666666666,14.51,28.2,81.23266666666667,101.77000000000001,0.7723333333333334,17.162333333333333,21.818666666666665,18.125999999999998,0.21341053532143728,8,0.2667,91.04,14.76
2000-12-01,20.43967741935484,11.8,30.3,70.93387096774192,29.389999999999997,0.8535483870967743,18.999354838709678,21.62548387096774,14.054516129032258,0.12143677560822796,2,0.0645,69.71,25.54
2001-01-01,23.096451612903227,14.58,32.85,64.52161290322582,14.08,0.6583870967741936,18.381290322580647,21.612903225806452,14.746451612903225,0.14952238805970142,3,0.0968,54.39,30.17
2001-02-01,25.321428571428573,15.83,35.45,59.583928571428565,4.14,0.5578571428571428,21.834285714285716,23.889642857142857,14.531428571428572,0.08603549057421767,1,0.0357,0.0,36.94
2001-03-01,26.823548387096775,17.53,37.5,55.51225806451613,0.66,0.737741935483871,22.850645161290323,25.251612903225805,15.430967741935484,0.09508175779253947,0,0.0,0.0,40.26
2001-04-01,25.53966666666667,18.87,36.3,74.89699999999999,218.44,0.565,20.816333333333333,26.255333333333333,19.875333333333334,0.20715791077368406,18,0.6,0.0,19.9
2001-05-01,24.695483870967742,19.36,34.06,82.06258064516129,154.28,1.1,21.74967741935484,26.47451612903226,21.006451612903227,0.17846742454703857,17,0.5484,8.7,14.74
2001-06-01,22.42866666666667,19.37,27.41,91.04166666666667,378.17,1.6276666666666666,15.307666666666668,25.244000000000003,20.806333333333335,0.39361168330428353,29,0.9667,73.47,5.43
2001-07-01,22.008387096774193,18.67,26.07,91.81354838709677,326.5,1.5574193548387096,15.038709677419355,25.294838709677418,20.54,0.40546331012319226,29,0.9355,85.47,4.87
2001-08-01,22.10483870967742,18.74,26.41,91.36580645161291,210.1,1.433548387096774,14.711612903225806,25.858709677419355,20.546451612903226,0.43107706893540587,29,0.9355,82.72,4.91
2001-09-01,22.354,18.64,27.77,89.98666666666666,140.67000000000002,0.9006666666666666,18.961333333333336,25.243,20.494666666666667,0.24884786541483428,17,0.5667,75.6,7.52
2001-10-01,22.50225806451613,17.86,28.66,89.37096774193549,177.94,0.782258064516129,16.434516129032257,23.218064516129033,20.523870967741935,0.2921668333889075,19,0.6129,71.36,7.52
2001-11-01,22.147333333333332,16.02,27.74,86.43433333333334,94.56,0.5920000000000001,17.329333333333334,21.549666666666667,19.569000000000003,0.19584216306516722,14,0.4667,81.5,10.91
2001-12-01,21.059354838709677,12.59,28.67,76.06032258064516,9.06,0.8048387096774193,17.798709677419353,21.148709677419355,16.23709677419355,0.15840209880874312,3,0.0968,87.41,20.15
2002-01-01,23.061935483870965,13.08,33.41,66.70903225806451,0.97,0.6083870967741936,19.039354838709677,21.705806451612904,15.351290322580645,0.12284508381880876,0,0.0,55.37,29.2
2002-02-01,24.553214285714287,14.62,35.54,56.47571428571428,2.81,0.7792857142857142,21.39035714285714,24.286785714285713,13.084999999999999,0.1192594444362749,0,0.0,12.77,38.33
2002-03-01,27.059354838709677,17.84,37.0,52.395806451612906,5.1899999999999995,0.6854838709677419,23.96483870967742,25.71,13.967096774193548,0.06787869662864965,2,0.0645,0.0,44.37
2002-04-01,27.759333333333334,20.55,38.57,62.33833333333334,18.32,0.6543333333333333,23.436333333333334,26.662666666666667,18.175666666666665,0.12100565084762716,3,0.1,0.0,33.1
2002-05-01,25.162580645161288,20.37,38.4,80.8967741935484,203.95999999999998,1.1116129032258064,19.903870967741934,26.20193548387097,21.001290322580644,0.24036638514761288,21,0.6774,0.0,14.51
