month,T2M,T2M_MIN,T2M_MAX,RH2M,PRECTOTCORR,WS2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,T2MDEW,CLOUD_FRACTION,RAINY_DAY_COUNT,RAINY_DAY_FRACTION,MILD_SCORE,STARGAZING_SCORE
2006-11-01,23.059,16.88,29.23,83.779,37.29,0.988,16.432666666666666,19.756333333333334,19.999333333333333,0.16823297170527596,7,0.2333,55.46,13.49
2006-12-01,21.692903225806454,12.83,31.14,64.65870967741935,0.0,1.093225806451613,18.328387096774197,19.181290322580644,13.869354838709677,0.0444653728431601,0,0.0,94.49,33.77
2007-01-01,23.471612903225807,13.46,35.4,50.53290322580645,0.0,0.8145161290322581,19.52774193548387,20.146451612903224,11.074838709677419,0.030710603003810788,0,0.0,43.67,47.95
2007-02-01,25.06107142857143,15.17,36.75,50.88035714285714,0.0,0.9260714285714285,22.273571428571426,22.809642857142855,11.551785714285714,0.02350196502105939,0,0.0,0.0,47.97
2007-03-01,28.13032258064516,16.32,40.86,52.16709677419355,0.38,0.9961290322580645,23.307741935483868,24.1858064516129,14.99258064516129,0.03630495091762698,0,0.0,0.0,46.1
2007-04-01,29.479666666666667,20.45,41.02,57.73433333333333,27.7,0.9393333333333334,24.09333333333333,25.514,18.313333333333333,0.055681847874369694,8,0.2667,0.0,39.91
2007-05-01,28.26322580645161,21.49,39.45,67.99838709677418,84.97,1.4387096774193548,23.17322580645161,26.456451612903226,20.69677419354839,0.12409925013717005,11,0.3548,0.0,28.03
2007-06-01,25.118666666666666,21.0,34.98,88.83033333333333,736.65,1.8453333333333333,14.306000000000001,25.689666666666664,22.956666666666667,0.44312239681324517,29,0.9667,0.0,6.22
2007-07-01,24.180967741935483,21.19,29.34,93.16935483870968,530.1,2.0380645161290323,13.153548387096773,24.59,22.978064516129034,0.4650854661611723,31,1.0,23.4,3.65
2007-08-01,23.718709677419355,21.09,27.69,93.15903225806451,553.95,1.869032258064516,13.004193548387097,24.931612903225805,22.51225806451613,0.47840544457095535,30,0.9677,36.61,3.57
2007-09-01,23.980999999999998,20.08,29.88,92.00366666666667,404.31,1.3546666666666667,14.377333333333333,23.977333333333334,22.533,0.40037813490518825,24,0.8,29.11,4.79
2007-10-01,23.680967741935483,16.6,29.81,85.54322580645162,67.37,0.886774193548387,16.666774193548385,21.440322580645162,20.927419354838708,0.222643496577146,14,0.4516,37.69,11.24
2007-11-01,21.174,10.68,28.89,78.289,49.64,0.982,19.325,20.579,16.971,0.060935905534768464,7,0.2333,90.69,20.39
